Qty,Value,Device,Package,Parts,Description,RS,,,,,,,,,,,,,,,,,,,,,,,
2,,JUMPER-2PTH,1X02,DAC0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,SJ,SJ,SJ1,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.47k,RESISTOR0805-RES,0805,R5S0,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
2,100R,RESISTOR0805-RES,0805,R-CANH,,,,,,,,,,,,,,,,,,,,,,,,,
38,100nF,CAP0805,0805,C-5V2,,,, C-BFR, C-CAN, C-IC2, C-L0, C-L1, C-L2, C-L3, C-L8, C-L9, C-L10, C-L11, C-L14, C-L15, C-L16, C-L17, C-L18, C-L19, C-L20, C-L21, C-L22, C-L23," C-LS"";""Capacitor"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"
1,10R,RESISTOR0805-RES,0805,R-BZ,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
17,10k,RESISTOR0805-RES,0805,R-B0,,,," R-T2L"";""Resistor"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,,,,,,,,,,,,,,
1,10uH,WE-LHMI_SMD_POWER_INDUCTOR,WE-LHMI_SMD_POWER_INDUCTOR,LIN,,,,,,,,,,,,,,,,,,,,,,,,,
4,20k,RESISTOR0805-RES,0805,R-B12D,,,,,,,,,,,,,,,,,,,,,,,,,
1,22-23-2031,M03POLAR,MOLEX-1X3,PROGRAM,Header 3,,,,,,,,,,,,,,,,,,,,,,,,
2,22-23-2061,22-23-2061,22-23-2061,LEFT-X,,,,,,,,,,,,,,,,,,,,,,,,,
1,22-23-2081,22-23-2081,22-23-2081,ALT-POWER-DATA,".100 (2.54mm) Center Header - 8 Pin""",679-5606,,,,,,,,,,,,,,,,,,,,,,,
2,220pF,CAP0805,0805,C-CANH,,,,,,,,,,,,,,,,,,,,,,,,,
1,220uF,CPOL-USD,PANASONIC_D,C-5V4,POLARIZED CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,
3,220uF,PANASONIC_D,PANASONIC_D_XL,C-5V1,,,,,,,,,,,,,,,,,,,,,,,,,
1,254 MALE,M01PTH,1X01,INT_PINS_2,Header 1,,,,,,,,,,,,,,,,,,,,,,,,
1,254 MALE,M02PTH,1X02,INT_PINS_1,"Standard 2-pin 0.1 header. Use with""",,,,,,,,,,,,,,,,,,,,,,,,
1,2R,RESISTOR0805-RES,0805,R5S1,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
2,3.3,ZENER,SOD123@1,Z-PGM,,,,,,,,,,,,,,,,,,,,,,,,,
1,330R,RESISTOR0805-RES,0805,R-LD,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7k,RESISTOR0805-RES,0805,R-TCD,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7nF,CAP0805,0805,C-CANM,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,
4,4.7uF,CAP1210,1210,C-31,,,,,,,,,,,,,,,,,,,,,,,,,
1,43045-0412,HEADER_POS4_43045-0412,43045-0412,P_D,Molex - Micro-Fit 3.0 Series connector,,,,,,,,,,,,,,,,,,,,,,,,
1,560R,RESISTOR0805-RES,0805,R-L5,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
2,60R,RESISTOR0805-RES,0805,R-CANMH,,,,,,,,,,,,,,,,,,,,,,,,,
1,796136-1,TE-CR2032-HOLDER,TE-CR2032-SMD,RTC-BAT,,718-8457,,,,,,,,,,,,,,,,,,,,,,,
1,ADAFRUIT-FEATHER-TFT3.5,ADAFRUIT-FEATHER-TFT3.5,ADAFRUIT-FEATHER-TFT3-5,TFT,,,,,,,,,,,,,,,,,,,,,,,,,
1,AXA003A0XZ,AXA003A0XZ,SIP,DCDC,Lineage Power Austin MiniLynx DC-DC,,,,,,,,,,,,,,,,,,,,,,,,
1,B540C,SD-SMC,SMC,DIN,Schottky diode,,,,,,,,,,,,,,,,,,,,,,,,
2,BSS138,MOSFET-NCHANNELBSS123LT1G,SOT23,Q-BZ,,,,,,,,,,,,,,,,,,,,,,,,,
1,BUZZERPTH,BUZZERPTH,BUZZER-12MM,BUZZER,Buzzer 12mm,,,,,,,,,,,,,,,,,,,,,,,,
2,DTULARGE,DTULARGE,DTU-LARGE,U$4,,,,,,,,,,,,,,,,,,,,,,,,,
1,MCP2551,MCP2551,SO-08M,MCP2551,,,,,,,,,,,,,,,,,,,,,,,,,
1,PESD1CAN,PESD1CAN,SOT23-3,CAN-D,PESD1CAN is used to protect two automotive CAN bus lines from ESD.,,,,,,,,,,,,,,,,,,,,,,,,
1,RED,LED1206,LED-1206,LED-5V,LEDs,,,,,,,,,,,,,,,,,,,,,,,,
2,ROADRUNNERSFULL,ROADRUNNERSFULL,ROADRUNNERS-FULL,U$3,,,,,,,,,,,,,,,,,,,,,,,,,
2,ROADRUNNERSSMALL,ROADRUNNERSSMALL,ROADRUNNERS-SMALL,U$8,,,,,,,,,,,,,,,,,,,,,,,,,
1,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,MAIN_FUSE,,,,,,,,,,,,,,,,,,,,,,,,,
2,SMILEYLARGE,SMILEYLARGE,SMILEY-LARGE,U$6,,,,,,,,,,,,,,,,,,,,,,,,,
1,SN74AHCT125D,SN74AHCT125D,SOIC127P600X175-14N,SN74AHCT125,QUADRUPLE BUS BUFFER GATES WITH 3-STATE OUTPUTS,662-7831,,,,,,,,,,,,,,,,,,,,,,,
10,TACTILE-SWITCH-7914G,TACTILE-SWITCH-7914G,7914G,B0,,,,,,,,,,,,,,,,,,,,,,,,,
1,TDN3WI,TDN3WI,TDC3WI,TDN3-1211WI,,899-8223,,,,,,,,,,,,,,,,,,,,,,,
1,TEENSY_3.6_DIL,TEENSY_3.6_DIL,TEENSY_3.6_DIL,TEENSY,Teensy 3.6 DIL Package,,,,,,,,,,,,,,,,,,,,,,,,
18,WS2812B,WS2812B,WS2812B,LED0,,,, LED22," LED23"";""WS2812B - Intelligent control LED integrated light source"";"""";"""";"""";"""";"""";"""";""DIO-12503"";"""";"""";",,,,,,,,,,,,,,,,,,,,
